CODE	LONG DESCRIPTION	SHORT DESCRIPTION
ACRC	AERONAUTICAL CENTER COUNSEL OK	ACRC
AC70	"REGIONAL SEC PROG, OKC OK" 	AC70
AC74	REGIONAL SEC PROG OKC OK LEAU	AC74
AC75	REGIONAL SEC PROG OKC OK DWI	AC75
AC78	REGIONAL SEC DISU PROG OKC OK	AC78
AC90	AERONAUTICAL CENTER - MEDICAL	AC90
AGC1	OFFICE OF THE CHIEF COUNSEL 	AGC1
ALRC	ALASKAN REG COUNSEL ANC AL  	ALRC
AL00	REGIONAL FLT STDS OFC ANC AL	AL00
AL01	FAIRBANKS AK              FSDO	AL01
AL03	ANCHORAGE AK              FSDO	AL03
AL05	JUNEAU AK                 FSDO	AL05
AL70	REGIONAL SECURITY PROG ANC AL	AL70
AL72	ANCHORAGE INTL AK        CASFO	AL72
AL78	ANCHORAGE AK AAL-710        	AL78
AL79	ANCHORAGE AK AAL-710        	AL79
AL80	REGIONAL AIRPORT PROG ANC AL	AL80
AL90	REGIONAL FLIGHT SURGEON ANC AL	AL90
AL91	DRUG ABATEMENT AAL-305      	AL91
AUS 	AUSTRALIA	
CA  	CANADA	
CERC	CENTRAL REG COUNSEL KC MO   	CERC
CE00	REGIONAL FLT STDS OFC KC MO 	CE00
CE01	DES MOINES IA             FSD0	CE01
CE03	ST LOUIS MO               FSDO	CE03
CE05	KANSAS CITY MO            FSDO	CE05
CE07	WICHITA KS                FSDO	CE05
CE09	LINCOLN NE                FSDO	CE09
CE40	KAN CITY MO            ACE-108	CE40
CE42	ATLANTA GA                MIDO	CE42
CE43	WICHITA KS                MIDO	CE43
CE44	MIAMI FL                  MIDO	CE44
CE45	KANSAS CITY MO            MIDO	CE45
CE46	MINNEAPOLIS MN            MIDO	CE46
CE47	CLEVELAND OH              MIDO	CE47
CE48	VANDALIA OH               MIDO	CE48
CE49	LAKELAND FL               MISO	CE49
CE50	NASHVILLE TN              MISO	CE50
CE51	MOBILE AL                 MISO	CE51
CE52	SAVANNAH GA               MISO	CE52
CE53	DETROIT MI                MISO	CE53
CE54	INDIANAPOLIS IN           MISO	CE54
CE55	CHICAGO IL                MISO	CE55
CE56	ATLANTA ACO ACE-115A        	CE56
CE57	CHICAGO ACO ACE-115C        	CE57
CE58	ANCHORAGE ACO ACE-115N      	CE58
CE59	WICHITA ACO ACE-115W        	CE59
CE70	REGIONAL SECURITY PROG KC MO	CE70
CE71	KANSAS CITY INTL MO      CASFO	CE71
CE72	LAMBERT-ST LOUIS INTL MO CASFO	CE72
CE73	REGIONAL FIELD STAFF KC MO  	CE73
CE78	KAN CITY MO ACE-710         	CE78
CE79	KAN CITY MO ACE-710         	CE79
CE80	REGIONAL AIRPORT PROG KC MO 	CE80
CE90	REGIONAL FLIGHT SURGEON KC MO	CE90
CE91	DRUG ABATEMENT ACE-303      	CE91
EARC	EASTERN REG COUNSEL NY NY   	EARC
EA00	REGIONAL FLT STDS OFFICE NY NY	EA00
EA01	ALBANY NY                 FSDO	EA01
EA03	ALLEGHENY PITTSBURGH PA   FSDO	EA03
EA05	ALLENTOWN PA              FSDO	EA05
EA07	BALTIMORE MD              FSDO	EA07
EA09	CHARLESTON WV             FSDO	EA09
EA11	FARMINGDALE NY            FSDO	EA11
EA13	HARRISBURG PA             FSDO	EA13
EA15	NEW YORK NY-AIR CARRIER   FSDO	EA15
EA16	NEW YORK CERT MGT OFC     FSDO	EA16
EA17	PHILADELPHIA PA           FSDO	EA17
EA19	PITTSBURGH PA-AIR CARRIER FSDO	EA19
EA21	RICHMOND VA               FSDO	EA21
EA23	ROCHESTER NY              FSDO	EA23
EA25	TETERBORO NJ              FSD0	EA25
EA27	WASHINGTON DC             FSDO	EA27
EA29	NY INTL FIELD OFFICE      FSDO	EA29
EA31	BRUSSELS IFO                	EA31
EA33	FRANKFURT GE              FSDO	EA33
EA35	LONDON/GATEWICK ENGLAND     	EA35
EA70	REGIONAL SECURITY PROG NY NY	EA70
EA71	JFK INTL NY              CASFO	EA71
EA72	DULLES ARPT-CHANTILLY VA CASFO	EA72
EA73	PHILADELPHIA INTL PA     CASFU	EA73
EA74	PITTSBURGH INTL PA       CASFU	EA74
EA78	NEW YORK NY AEA-710         	EA78
EA79	NEW YORK NY AEA-710         	EA79
EA80	REGIONAL AIRPORT PROG NY NY 	EA80
EA90	AEA-300 REG FLIGHT SURGEON  NY	EA90
EA91	DRUG ABATEMENT AEA-301      	EA91
EU00	REGIONAL FLT STDS OFC BRUSSELS	EU00
EU01	FRANKFURT GE              FSDO	EU01
EU02	FRANKFURT GEOGRAPHIC UNIT IFO	EU02
EU03	LONDON/GATEWICK ENGLAND     	EU03
EU70	REGIONAL SEC OFC BRUSSELS BE	EU70
EU72	BRUSSELS - OPERATION BRANCH 	EU72
EU73	BAHRAIN CASIFO              	EU73
EU74	BRUSSELS CASIFO             	EU74
EU76	ROME CASIFO                 	EU76
FS01	GENERIC-AFS-643 RESPONSIBLE 	AFS-643
GLRC	GREAT LAKES REG COUNSEL CHICAGO	GLRC
GL00	REGIONAL FLT STDS OFC CHICAGO	GL00
GL01	MINNEAPOLIS MN            CMO	GL01
GL03	WEST CHICAGO IL           FSDO	GL03
GL05	CINCINNATI OH             FSDO	GL05
GL07	COLUMBUS OH               FSDO	GL07
GL09	GRAND RAPIDS MI           FSDO	GL09
GL10	INDIANAPOLIS IN           FSDO	GL10
GL11	INDIANAPOLIS IN           FSDO	GL11
GL13	MILWAUKEE WI              FSDO	GL13
GL15	MINNEAPOLIS MN            FSDO	GL15
GL17	SOUTH BEND IN             FSDO	GL17
GL19	SPRINGFIELD IL            FSDO	GL19
GL21	FARGO ND                  FSDO	GL21
GL23	BELLEVILLE (DETROIT) MI   FSDO	GL23
GL25	CLEVELAND OH              FSDO	GL25
GL27	RAPID CITY SD             FSDO	GL27
GL31	SCHILLER PK (CHICAGO) IL  FSDO	GL31
GL70	REGIONAL SECURITY OFC CHICAGO	GL70
GL71	REGIONAL FIELD STAFF     CASFO	GL71
GL72	DETROIT METRO MI         CASFU	GL72
GL73	MINN-ST PAUL MN INTL     CASFO	GL73
GL74	CHICAGO O'HARE INTL IL   CASFO	GL74
GL75	CLEVELAND CASFU             	GL75
GL76	INDIANAPOLIS/COLUMBUS       	GL76
GL78	CHICAGO IL AGL-710          	GL78
GL79	CHICAGO IL AGL-710          	GL79
GL80	REGIONAL ARPT PROG CHICAGO IL	GL80
GL90	REGIONAL FLT SURGEON CHICAGO	GL90
GL91	DRUG ABATEMENT AGL-306      	GL91
NERC	NEW ENGLAND REG COUNSEL BOSTON	NERC
NE00	REGIONAL FLT STDS OFC BOSTON	NE00
NE01	BEDFORD MA                FSDO	NE01
NE02	BOSTON-LOGAN MA           FSDO	NE02
NE03	WINDSOR LOCKS CT          FSDO	NE03
NE05	PORTLAND ME               FSDO	NE05
NE40	BOSTON MA                 MIDO	NE40
NE41	WINDSOR LOCKS CT          MIDO	NE41
NE42	"BURLINGTON, MA MISO"       	NE42
NE43	NOT USED-NOW NE46 FARMINGDALE	NE43
NE44	NEW CUMBERLAND PA         MIDO	NE44
NE45	TETERBORO NJ              MIDO	NE45
NE46	FARMINGDALE NY            MIDO	NE46
NE47	NOT USED-NOW NE-56          	NE47
NE48	ENG & PROP STDS STAFF ANE-110	NE48
