c5	remark
19750101000049A	UNLIGHTED PASTURE WET AND SOFT FM RECENT RAINS ABT 1300FT.ACFT SETTLED BACK TO GND AFTR L/O.
19750101000129A	VIS EST OF FUEL IN TANKS.DID NOT USE DIP STICK KEPT IN ACFT,DID NOT RECALL FUEL INDICATION BFR T/O
19750101000139A	
19750101000219A	WIND GUSTING 25K.
19750101000229A	HIT SNOW BANK.
19750101000239A	
19750101000249A	
19750101000529A	LND ON NARROW SOFT RWY & RAN INTO DITCH.
19750101003849A	CRUISE AND RANGE PERFORMANCE CHART FOR LEAN MIX. PLT USED RICH MIX.
19750101043219A	R PROP ERRATIC,EXCEEDED 3000 RPM.PLT UN CTL,FEATHERED PROP.L ENG OVERHEATED LOST PWR.DITCHED OK.
19750102000149A	ACCELERATING PUMP INLET CHECK VALVE INOP DUE TO RUST AND SEDIMENT.T/D IN PLOWED FLD BEYOND RWY.
19750102000259A	
19750102000269A	QUICK DRAIN MISSING.
19750102000859A	BIRD CHASING IN CORN FLD.LOST CTL DRG LOW DOWNWIND TURN.
19750102006399A	STUDENT PILOT REPORTEDLY DID NOT KEEP PERSONAL FLIGHT LOG.ACFT COMPLETELY INVERTED TIME OF IMPACT.
19750102006799A	MECH ACTING AS CO-PLT.3060FT SOFT DIRT STRIP.
19750102006809A	DSCND INTO UNLTD TERRAIN.RECOVERY DATE 1/3/75.LDG BAKER DUE ENROUTE WEA.
19750102008949A	PROP OVERSPEED DUE CONGEALED OIL.DIDNT EXERCISE PROPS BFOR TKOF.LOST CTL.
19750102020959A	MAIL FLIGHT.ACFT ROLLED SHARP TO THE L BFR ALT LOSS.MDT RME ICE DRG DSCNT. MAIL FLIGHT.
19750103000159A	FULL FLAP LDG PLT MISJUDGED SINK RATE.
19750103000169A	PATCHES OF ICE ON RWY.GUSTING TO 22K.
19750103000279A	SIM 2 ENGS OUT OVR ARPT,LNDD SHORT OF RWY.MULTI-ENG TRAINING,STDNT ALSO CFI.
19750103000539A	WORN CAMSHAFT LOBES AND CAM FOLLOWERS.LNDD ACROSS IN CORN FLD.ACFT EQPD MAGIC GR,NO EMGCY LOCKOUT.
19750103000869A	
19750103002129A	CRASHED ON FROZEN LAKE.VSBY AT SITE EST 1/8MI.
19750103010349A	RAN INTO BUSHES. INVEST UNDER JURISDICTION OF GOVT OF PHILLIPINES.
19750104000179A	RCVRY 1/5/75.TRANSPORT OF DRILLING CREWS BTWN MTN HELIPADS.LOST VISUAL REF.SETTLED INTO TREES.
19750104000289A	CROSSED RWY THRESHOLD 100MPH A/S.ATMTD GND LOOP R GR DROPPED INTO DITCH.
19750104000299A	ACFT DESTROYED BY FIRE.PLT REPORTEDLY STATED BFR TKOF FUEL LOW.ACFT OUT OF ANNUAL.
19750104000309A	
19750104000319A	FRONTAL PASSAGE AT TAKEOFF.ICE FOUND ON AIRFRAME.GUSTING TO 50K
19750104000709A	UNABLE TO OBTAIN SPD,ELECTED TO LND IN A CREEK.ACFT SUBMERGED IN 12FT OF WATER.
19750104001279A	UNDERSHOT APCH.
19750104002139A	SETTLED WITH PWR DRG DOWNWIND TURN.
19750104003349A	TRANSPORTATION OF MARIJUANA DITCHED IN LAKE
19750105000189A	R GR DWN LOCK STUCK & ROD END BEARING FROZEN.
19750105000329A	
19750105000339A	DESCENT FROM 11500 FT AT 2000FPM,CLEARED ENGINE AT 8000 AND 5000FT,NO RESPONSE AT 3500FT.
19750105000349A	NO EVIDENCE OF FUEL BTWN CK VALVE AND INJ PUMP.ELT DID NOT ACTIVATE.
19750105000359A	FUEL TANK VENT ICED OVER.
19750105000369A	HIT UNLTD PWR POLES & WIRES.
19750105000549A	OIL QUICK DRAIN OPENED DRG TKOF OR INFLT,REASON UNK.EMERG HAND PUMP HANDLE NOT FULLY EXTENDED.
19750105000559A	LOW ON APCH.STUDENT PLT AT CTLS,SLAMMED THROTTLE IN,ENG HESITATED.
19750105000569A	DENSITY ALT NOT REPORTED.MIXTURE FULL RICH.LOST CTL RET TO LND.
19750105000579A	
19750105000589A	
19750105000879A	DARK NIGHT 1300FT CLG,FOG,SNOW.FSS SPECIALIST ADVSD PLT VFR FLT NOT RECOMMENDED.
19750105001109A	
19750105001119A	FIVE OTR ACFT IN TFC PATTERN.
19750105001289A	OVERFLEW ARPT AFTR ELECT FAILURE.
19750105001629A	ISOPROPYL NOT ADDED TO TANKS IN 47 FLT HRS.TEMP -30 DEG.
19750105002649A	RECOVERY DATE 1/11/75.
19750105003859A	ENCOUNTERED WIND GUST ON ROLLOUT.ADDED PWR FOR GO-ARND,WENT INTO TREES IN NOSE HIGH ATTITUDE.
19750105005839A	RECOVERY DATE 1/7/75.ACFT NOT EQUIPPED WITH ANTI-ICING,DE-ICING CONFIG.UN MAINTAIN ALT.
19750106000029A	ROD SAFTIED WITH IMPROPER PART.FORCED LANDING IN FARM FLD.
19750106000059A	NO COMPRESSION 1 CYL.PLT PREV CHNGD CYL,DIDNT ADJ VALVES.LAST ANNUAL 1971.LOW ALT TURN AFTER TKOF.
19750106000069A	PLT DID NOT CK TO ASSURE LDG GR LEVER AND LATCH WERE IN LOCKED PSN.
19750106000379A	
19750106000599A	3/4 INCH THICK ICE ON LEADING EDGE OF WG.
19750106000719A	PLT RPTD DSCNT TO MDA LVLD OFF HEARD LOUD BANG.ALT,SYS AND FACILITY CKD OK.ACFT RPTD CIRCLING.
19750106042969A	UN TO REACH ARPT.SUCESSFUL DITCHING OFF-SHORE.INVESTIGATION JURISDICTION GOVT OF BRITISH W INDIES.
